"b_pubid","b_sourceid","b_classname","b_batchid","b_credate","b_upddate","b_creator","b_updator","b_pendingactions","b_matchgrp","b_oldmatchgrp","b_xgrp","b_confirmationstatus","b_confscore","b_confscoretype","b_hassuggmerge","b_suggmergeid","b_suggmergeconfscore","b_suggmergeconfscoretype","b_suggmergemasterscount","id","b_oldsdpk","b_confirmedsdpk","first_name","last_name","phonetic_first_name","phonetic_last_name","normalized_first_name","normalized_last_name","nickname","member_id","date_of_birth","normalized_street","normalized_city","normalized_state","source_email","cleansed_email","valid_email_domain","source_phone","standardized_phone","phone_geocoding_data","value_status","person_type","mdm_id","effective_update_date","addstreet","addcity","addstate","addpostal_code","addcountry","melgeo_street","melgeo_locality","melgeo_postal_code","melgeo_admin_level1","melgeo_admin_lvl2","melgeo_country_long","melgeo_country_short","mellatitude","mellongitude","melstatus_code","googeo_street","googeo_locality","googeo_postal_code","googeo_admin_level1","googeo_admin_lvl2","googeo_country_long","googeo_country_short","goolatitude","goolongitude","goostatus_code","osmgeo_street","osmgeo_locality","osmgeo_postal_code","osmgeo_admin_level1","osmgeo_admin_lvl2","osmgeo_country_long","osmgeo_country_short","osmlatitude","osmlongitude","osmstatus_code","guess_gender"
CRM,"1436154",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,869,,,NOT_CONFIRMED,,,,,,,,10510,,,Wilbert,Neilan,WLBR,NLN,wilbert,neilan,wilbert,"51",1993-01-02,"390 LAKEWOOD POINT",PORTALEGRE,PORTALEGRE,wneilank@naver.com,wneilank@naver.com,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.472,"390 Lakewood Point",Portalegre,Portalegre,"7300-006",PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
CRM,"1437465",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,870,,,NOT_CONFIRMED,,,,,,,,10511,,,Gypsy,Sommerville,JPS,SMRF,gypsy,sommerville,gypsy,"78",1939-09-08,"0 BOWMAN DR",GALATáS,,gsommerville1a@forbes.com,gsommerville1a@forbes.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.625,"0 Bowman Drive",Galatás,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1437687",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,871,,,NOT_CONFIRMED,,,,,,,,10512,,,Lydie,Haime,LT,HM,lydie,haime,lydie,"73",1963-01-10,"5 NORTHPORT RD",ABAETé,,lhaime1@dmoz.org,lhaime1@dmoz.org,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.392,"5 Northport Road",Abaeté,,"35620-000",BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
CRM,"1437729",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,872,,,NOT_CONFIRMED,,,,,,,,10513,,,Benny,Gundry,BN,KNTR,benny,gundry,benny,"78",1977-07-15,"223 STEENSLAND HILL",RAWAAPU,,bgundrym@ameblo.jp,bgundrym@ameblo.jp,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.481,"223 Steensland Hill",Rawaapu,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
CRM,"1385517",Person,85,2025-03-11 17:14:24.247,2025-03-11 17:14:24.247,semadmin,semadmin,NONE,642,,,NOT_CONFIRMED,,,true,831,78,AVG_TRANS_MATCH_SCORE,2,10295,,,Mike,Larue,MK,LR,mike,larue,michael,,1991-09-04,"109 N MAYO ST",AMERICUS,GEORGIA,mikelarue@amason.com,mikelarue@amason.com,"1","229-924-2487",(229) 924-2487,"Americus, GA",HIGH,CUSTOMER,,2025-03-11 17:14:20.255,"109 N Mayo St",Americus,GA,"31709",US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
CRM,"1439077",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,873,,,NOT_CONFIRMED,,,,,,,,10514,,,Reggi,Narramore,RK,NRMR,reggi,narramore,reggi,"50",1939-11-25,"3008 ORIOLE ST",KRAJANBATURNO,,rnarramorej@sourceforge.net,rnarramorej@sourceforge.net,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.466,"3008 Oriole Street",Krajanbaturno,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1439192",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,874,,,NOT_CONFIRMED,,,,,,,,10515,,,Archibold,Boxe,ARXB,BKS,archibold,boxe,archibold,"9",1991-02-08,"1 2ND ST",BERLIN,BERLIN,aboxe18@jugem.jp,aboxe18@jugem.jp,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.616,"1 2nd Street",Berlin,Berlin,"12307",DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1439369",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,875,,,NOT_CONFIRMED,,,,,,,,10516,,,Galina,Kalaher,KLN,KLHR,galina,kalaher,galina,"64",1988-09-14,"42 MANDRAKE PARK",FENCHENG,,gkalaherf@uol.com.br,gkalaherf@uol.com.br,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.449,"42 Mandrake Park",Fencheng,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
CRM,"1439572",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,876,,,NOT_CONFIRMED,,,,,,,,10517,,,Rori,Munden,RR,MNTN,rori,munden,rori,"63",1942-03-07,"72637 SHELLEY TERRACE",HUANGASCAR,,rmundenl@lulu.com,rmundenl@lulu.com,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.476,"72637 Shelley Terrace",Huangascar,,,PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1440360",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,877,,,NOT_CONFIRMED,,,,,,,,10518,,,Doll,Hadcroft,TL,HTKR,doll,hadcroft,doll,"47",1949-05-24,"293 LOGAN AVE",MNELALETE,,dhadcroftx@nsw.gov.au,dhadcroftx@nsw.gov.au,"1",,,,,PROSPECT,,2025-03-19 10:49:07.553,"293 Logan Avenue",Mnelalete,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1441590",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,879,,,NOT_CONFIRMED,,,,,,,,10519,,,Austen,Hambelton,ASTN,HMBL,austen,hambelton,austen,"42",1985-12-18,"921 DORTON RD",WATANGAN,,ahambeltono@list-manage.com,ahambeltono@list-manage.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.493,"921 Dorton Road",Watangan,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1441979",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,880,,,NOT_CONFIRMED,,,,,,,,10520,,,Carolee,Samett,KRL,SMT,carolee,samett,carolee,"19",1957-11-07,"0 ANDERSON PLAZA",SENTUL,,csamett0@scientificamerican.com,csamett0@scientificamerican.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.382,"0 Anderson Plaza",Sentul,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1442009",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,881,,,NOT_CONFIRMED,,,,,,,,10521,,,Aggie,Cuell,AK,KL,aggie,cuell,aggie,"21",1948-05-25,"381 ROXBURY AVE",CHARATA,,acuell12@storify.com,acuell12@storify.com,"0",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.585,"381 Roxbury Avenue",Charata,,"3730",AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1443164",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,882,,,NOT_CONFIRMED,,,,,,,,10522,,,Felice,Pring,FLS,PRNK,felice,pring,felice,"37",1952-06-13,"3436 CROWNHARDT DR",Hà ĐôNG,,fpring5@amazonaws.com,fpring5@amazonaws.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.416,"3436 Crownhardt Drive",Hà Đông,,,VN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
CRM,"1443168",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,883,,,NOT_CONFIRMED,,,,,,,,10523,,,Fanya,Byrnes,FNY,BRNS,fanya,byrnes,fanya,"93",1961-09-27,"6204 DUNNING COURT",ASEN,,fbyrnese@stumbleupon.com,fbyrnese@stumbleupon.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.443,"6204 Dunning Court",Asen,,"6151",BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1443468",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,884,,,NOT_CONFIRMED,,,,,,,,10524,,,Ag,Levick,AK,LFK,ag,levick,ag,"24",1990-10-01,"2828 CROWLEY CENTER",LINDAVISTA,VERACRUZ LLAVE,alevickb@hubpages.com,alevickb@hubpages.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.433,"2828 Crowley Center",Lindavista,Veracruz Llave,"95098",MX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
CRM,"1444619",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,885,,,NOT_CONFIRMED,,,,,,,,10525,,,Brien,Sutlieff,BRN,STLF,brien,sutlieff,brien,"5",1936-03-30,"83 ESCH PKWY",HUILLAPIMA,,bsutlieffz@netvibes.com,bsutlieffz@netvibes.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.566,"83 Esch Parkway",Huillapima,,"4726",AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1436081",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,886,,,NOT_CONFIRMED,,,,,,,,10526,,,Marris,Calloway,MRS,KLW,marris,calloway,marris,"16",1981-11-01,"7975 SUTTERIDGE TERRACE",SHANGYUAN,,mcallowayh@cisco.com,mcallowayh@cisco.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.461,"7975 Sutteridge Terrace",Shangyuan,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1436177",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,887,,,NOT_CONFIRMED,,,,,,,,10527,,,Luella,Phoebe,LL,FB,phoebe,luella,fifi,"97",1944-09-25,"68287 ESKER CENTER",CABA,,lphoebe13@vkontakte.ru,lphoebe13@vkontakte.ru,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.592,"68287 Esker Center",Caba,,"2502",PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
MKT,"1437091",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,888,,,NOT_CONFIRMED,,,,,,,,10528,,,Gabriele,Medhurst,KBRL,MTHR,gabriele,medhurst,gabriele,"23",1957-05-03,"3 ALGOMA LANE",NOVOSPASSKOYE,,gmedhurstn@ucoz.ru,gmedhurstn@ucoz.ru,"1",,,,,PROSPECT,,2025-03-19 10:49:07.487,"3 Algoma Lane",Novospasskoye,,"607914",RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1437774",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,889,,,NOT_CONFIRMED,,,,,,,,10529,,,Marnie,Vallack,MRN,FLK,marnie,vallack,marnie,"40",1955-08-22,"88 THOMPSON POINT",LENGSHUIJING,,mvallackq@twitpic.com,mvallackq@twitpic.com,"0",,,,,PROSPECT,,2025-03-19 10:49:07.510,"88 Thompson Point",Lengshuijing,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
MKT,"1437801",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,890,,,NOT_CONFIRMED,,,,,,,,10530,,,Frederic,Cecchetelli,FRTR,SKXT,frederic,cecchetelli,frederic,"33",1985-06-24,"92097 MONTEREY CIRCLE",MARACAY,,fcecchetelli16@quantcast.com,fcecchetelli16@quantcast.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.610,"92097 Monterey Circle",Maracay,,,VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1444496",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,902,,,NOT_CONFIRMED,,,,,,,,10542,,,Benedetto,Mease,BNTT,MS,benedetto,mease,benedetto,"50",1970-12-07,"87 ONEILL TRAIL",LETUYI,,bmeaser@fotki.com,bmeaser@fotki.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.516,"87 Oneill Trail",Letuyi,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1437835",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,891,,,NOT_CONFIRMED,,,,,,,,10531,,,Salvatore,Benkhe,SLFT,BNKH,salvatore,benkhe,salvatore,"26",1988-05-03,"83 SUNDOWN ST",SãO JULIãO DO TOJAL,LISBOA,sbenkhe9@google.co.uk,sbenkhe9@google.co.uk,"1",,,,,PROSPECT,,2025-03-19 10:49:07.428,"83 Sundown Street",São Julião do Tojal,Lisboa,"2660-363",PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1438717",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,892,,,NOT_CONFIRMED,,,,,,,,10532,,,Vanna,Lamborne,FN,LMBR,vanna,lamborne,vanna,"36",1974-06-04,"7 PORTER LANE",CRUZ DEL EJE,,vlamborne11@youtu.be,vlamborne11@youtu.be,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.579,"7 Porter Lane",Cruz del Eje,,"5280",AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE
MKT,"1439455",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,893,,,NOT_CONFIRMED,,,,,,,,10533,,,Atlanta,Giordano,ATLN,JRTN,giordano,atlanta,atlanta,"65",1970-11-04,"9506 CHINOOK TRAIL",BRYUKHOVYCHI,,agiordano10@ehow.com,agiordano10@ehow.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.571,"9506 Chinook Trail",Bryukhovychi,,,UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1439612",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,894,,,NOT_CONFIRMED,,,,,,,,10534,,,Rooney,Buckbee,RN,BKB,rooney,buckbee,rooney,"7",1965-08-11,"7331 EAGLE CREST RD",QUWA,,rbuckbee2@macromedia.com,rbuckbee2@macromedia.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.398,"7331 Eagle Crest Road",Quwa,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1439755",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,895,,,NOT_CONFIRMED,,,,,,,,10535,,,Izzy,Raftery,IS,RFTR,izzy,raftery,izzy,"49",1958-10-31,"04 NORTHFIELD JUNCTION",TAKANOSU,,irafteryu@mapquest.com,irafteryu@mapquest.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.535,"04 Northfield Junction",Takanosu,,"989-0222",JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1439942",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,896,,,NOT_CONFIRMED,,,,,,,,10536,,,Timoteo,Papworth,TMT,PPWR,timoteo,papworth,timoteo,"85",1938-03-21,"71868 HIGH CROSSING CROSSING",BERLIN,BERLIN,tpapworth4@constantcontact.com,tpapworth4@constantcontact.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.412,"71868 High Crossing Crossing",Berlin,Berlin,"13599",DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1441230",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,897,,,NOT_CONFIRMED,,,,,,,,10537,,,Virgie,Pittwood,FRJ,PTWT,virgie,pittwood,virgie,"39",1981-06-08,"1439 LIGHTHOUSE BAY POINT",VESTMANNAEYJAR,,vpittwood3@hud.gov,vpittwood3@hud.gov,"1",,,,,PROSPECT,,2025-03-19 10:49:07.405,"1439 Lighthouse Bay Point",Vestmannaeyjar,,"902",IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1442305",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,898,,,NOT_CONFIRMED,,,,,,,,10538,,,Daune,Ansty,TN,ANST,daune,ansty,daune,"9",1941-05-11,"85816 WESTPORT TERRACE",SIDOMULYO,,danstys@amazon.com,danstys@amazon.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.522,"85816 Westport Terrace",Sidomulyo,,,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1442433",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,899,,,NOT_CONFIRMED,,,,,,,,10539,,,Jesselyn,Daile,JSLN,TL,jesselyn,daile,jesselyn,"46",1971-09-13,"61163 FAIRVIEW JUNCTION",ZáKYNTHOS,,jdaile19@histats.com,jdaile19@histats.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.620,"61163 Fairview Junction",Zákynthos,,,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1442770",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,900,,,NOT_CONFIRMED,,,,,,,,10540,,,Isaac,McCaffery,ISK,MKKF,isaac,mccaffery,ike,"30",1961-09-25,"528 SACHS DR",JIUXI,,imccafferyg@creativecommons.org,imccafferyg@creativecommons.org,"1",,,,HIGH,CUSTOMER,,2025-03-19 10:49:07.455,"528 Sachs Drive",Jiuxi,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1442996",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,901,,,NOT_CONFIRMED,,,,,,,,10541,,,Cirilo,Glassford,SRL,KLSF,cirilo,glassford,cirilo,"97",1953-12-22,"82546 SULLIVAN RD",DAOQIAO,,cglassfordw@com.com,cglassfordw@com.com,"1",,,,,PROSPECT,,2025-03-19 10:49:07.548,"82546 Sullivan Road",Daoqiao,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN
MKT,"1444527",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,903,,,NOT_CONFIRMED,,,,,,,,10543,,,Gian,Mohring,JN,MRNK,gian,mohring,gian,"91",1988-02-10,"59 SUTHERLAND RD",SONGYUAN,,gmohringp@discovery.com,gmohringp@discovery.com,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.500,"59 Sutherland Road",Songyuan,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
MKT,"1444906",Person,87,2025-03-19 10:49:09.590,2025-03-19 10:49:09.590,semadmin,semadmin,NONE,904,,,NOT_CONFIRMED,,,,,,,,10544,,,Dominic,Oslar,TMNK,OSLR,dominic,oslar,dom,"63",1965-10-10,"88884 SCHOOL HILL",TROSTYANETS’,,doslar1b@creativecommons.org,doslar1b@creativecommons.org,"1",,,,NORMAL,CUSTOMER,,2025-03-19 10:49:07.630,"88884 School Hill",Trostyanets’,,,UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MALE
